BMRS,Business Type,Registered Resource EIC code,BM Unit ID,NGC BM Unit ID,Registered Resource Name,PSR Type,Effective From (Date),Capacity MW,*,Type (powerplant(station) or generator(unit)),Connected (if generator(unit)),Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15,Output16,Output17,Output18,Output19,Output20,Output21,Output22,Output23,Output24,Output25,Output26,Output27,Output28,Output29,Output30,Output31,Output32,Output33,Output34,Output35,Output36,Output37,Output38,Output39,Output40,Output41,Output42,Output43,Output44,Output45,Output46,Output47,Output48,**,outputBMRSUnitToDUKESStation,"outputpowerplant =IF(ISNA(VLOOKUP(C2,CP$2:CR$1184,3,FALSE)),"""",VLOOKUP(C2,CP$2:CR$1184,3,FALSE))",tMatchType,***,EICStation,ESO W Type Codes - Stations,Display Name - Stations,Used by X BMUs - Stations,Automatic ID - Stations,15 characters,Energy Identification Code - Stations,Function - Stations,EIC Name - Asset Name - Stations,****,EICUnit,ESO W Type Codes - BMUs,Display Name - Units,STATION,Automatic ID - Units,Energy Identification Code - Units,Function - Units,EIC Name - Asset Name - Units,*****,DUKES,Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",******,outputDUKESToBMRSEIC,outputDUKESToBMRSID,plantname,******.1,CapacityDiff,MatchType,MatchYear,MatchGenType,ConfidenceScore,ConfidenceResult,Year,Month,Day,Period,Output
BMRS,Production unit,48WSTN00000LOAND,,,LOAN,Generation,29/03/2005 0:00,2400.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,None,,-7.0,***,EICStation,ESO W Type Codes - Stations,ABTHB,3.0,48WSTN0000ABTHB,15,48WSTN0000ABTHBN,Production Unit,Aberthaw-1,****,EICUnit,ESO W Type Codes - BMUs,ABTH7,ABTHB,48W0000000ABTH7,48W0000000ABTH7Y,Generation Unit,Aberthaw ABTH7,*****,DUKES,Octopus Investments,Abbots Ripton,Solar,Solar,24.66717,2014,East England,******,None,None,Abbots_Ripton,******,999,999,999,999,3996,0,2022,02,08,48,0
BMRS,Production unit,48WSTN00000RATS9,,RATS,RATS,Fossil Hard coal,1/10/2015 0:00,2020.0,*,powerplant,None,485.736,488.14,375.124,302.356,306.69,288.014,293.86,290.004,298.44,309.176,292.916,300.866,595.94,815.3299999999999,928.98,976.056,975.302,966.1400000000001,974.296,969.29,975.9259999999999,976.866,967.3900000000001,976.12,977.8019999999999,981.402,980.012,874.3,678.2660000000001,496.592,527.6659999999999,511.4,510.772,753.614,970.976,975.5219999999999,839.496,832.986,964.2660000000001,980.192,980.28,980.596,969.87,807.45,376.78,27.37,0.0,0.0,**,Ratcliffe,Ratcliffe,-7.0,***,EICStation,ESO W Type Codes - Stations,ABTHGT,3.0,48WSTN000ABTHGT,15,48WSTN000ABTHGTK,Production Unit,Aberthaw-2,****,EICUnit,ESO W Type Codes - BMUs,ABTH7G,ABTHGT,48W000000ABTH7G,48W000000ABTH7G2,Generation Unit,Aberthaw ABTH7G,*****,DUKES,Vattenfall,Aberdeen,Wind (offshore),Wind (offshore),96.8,2018,Scotland,******,48WSTN0000ABRBON,ABRBO,Aberdeen,******,2,-4,-1,-5,-8,1,2022,02,08,48,0
BMRS,Production unit,48WSTN10000DINOQ,,DINO,DINO,Hydro Run-of-river and poundage,1/01/2000 0:00,2016.0,*,powerplant,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.5,19.4,0.0,38.8,74.4,31.8,853.4,1168.1,1137.3,1040.1,560.6,245.1,28.8,40.1,59.3,0.0,88.3,74.9,0.0,0.0,**,Dinorwig,Dinorwig,-3.0,***,EICStation,ESO W Type Codes - Stations,ANSUW,1.0,48WSTN0000ANSUW,15,48WSTN0000ANSUWY,Production Unit,An Suidhe Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,ABTH8,ABTHB,48W0000000ABTH8,48W0000000ABTH8W,Generation Unit,Aberthaw ABTH8,*****,DUKES,Anesco,Abergelli,Solar,Solar,7.68222,2015,Wales,******,None,None,Abergelli,******,999,999,999,999,3996,0,2022,02,08,48,0
BMRS,Production unit,48WSTN00000STVEO,,,STVE,Generation,29/03/2005 0:00,1998.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Striven,Striven,-4.0,***,EICStation,ESO W Type Codes - Stations,ARCHW,1.0,48WSTN0000ARCHW,15,48WSTN0000ARCHW6,Production Unit,Arecleoch Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,ABTH8G,ABTHGT,48W000000ABTH8G,48W100000ABTH8GN,Generation Unit,Aberthaw ABTH8G,*****,DUKES,RWE Npower,Aberthaw B,Coal,Conventional Steam,1559.0,1971,Wales,******,48WSTN0000ABTHBN,ABTHB,Aberthaw_B,******,2,-7,1,-5,-9,1,2022,02,08,48,0
BMRS,Production unit,48WSTN1000COTPSQ,,COTPS,COTPS,Fossil Hard coal,1/01/2013 0:00,1994.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Cottam,Cottam,-4.0,***,EICStation,ESO W Type Codes - Stations,BABAW,1.0,48WSTN1000BABAW,15,48WSTN1000BABAWQ,Production Unit,Baillie Wind Farm,****,EICUnit,ESO W Type Codes - BMUs,ABTH9,ABTHB,48W0000000ABTH9,48W0000000ABTH9U,Generation Unit,Aberthaw ABTH9,*****,DUKES,RWE Npower,Aberthaw GT,Diesel/gas oil,OCGT,51.0,1971,Wales,******,48WSTN000ABTHGTK,ABTHGT,Aberthaw_GT,******,0,-7,1,-5,-11,1,2022,02,08,48,0
BMRS,Production unit,48WSTN00000FIDLP,,FIDL,FIDL,Fossil Hard coal,9/02/2016 0:00,1961.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Fiddler’s Ferry,Fiddlers_Ferry,-10.0,***,EICStation,ESO W Type Codes - Stations,BAGE,2.0,48WSTN00000BAGE,15,48WSTN00000BAGE8,Production Unit,Baglan Bay,****,EICUnit,ESO W Type Codes - BMUs,ABTH9G,ABTHGT,48W000000ABTH9G,48W000000ABTH9GX,Generation Unit,Aberthaw ABTH9G,*****,DUKES,SSE+W9AO1X7:AG9,Achanalt,Hydro,Hydro,3.1,1956,Scotland,******,None,None,Achanalt,******,999,999,999,999,3996,0,2022,02,08,48,0
BMRS,Production unit,48WSTN00000FERRO,,FERR,FERR,Fossil Hard coal,9/02/2016 0:00,1960.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Ferrybridge Multi-fuel,,999.0,***,EICStation,ESO W Type Codes - Stations,BAGTD,1.0,48WSTN0000BAGTD,15,48WSTN0000BAGTDY,Production Unit,Bathgate,****,EICUnit,ESO W Type Codes - BMUs,AIGA-1,CABEU,48W000000AIGA-1,48W000000AIGA-1X,Generation Unit,Beauly Cascade AIGA-1,*****,DUKES,SSE,Achany Windfarm,Wind (onshore),Wind (onshore),38.0,2010,Scotland,******,None,None,Achany_Windfarm,******,999,999,999,999,3996,0,2022,02,08,48,0
BMRS,Production unit,48WSTN0000WBUPSE,,WBUPS,WBUPS,Fossil Hard coal,1/01/2013 0:00,1944.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,West Burton,West_Burton,999.0,***,EICStation,ESO W Type Codes - Stations,BARKB,2.0,48WSTN0000BARKB,15,48WSTN0000BARKBL,Production Unit,Barking Power,****,EICUnit,ESO W Type Codes - BMUs,AIGA-2,CABEU,48W000000AIGA-2,48W000000AIGA-2V,Generation Unit,Beauly Cascade AIGA-2,*****,DUKES,Temporis Capital,Acharin,Wind (onshore),Wind (onshore),6.0,2009,Scotland,******,None,None,Acharin,******,999,999,999,999,3996,0,2022,02,08,48,0
BMRS,Production unit,48WSTN00000PEHEU,,PEHE,PEHE,Fossil Gas,17/06/2021 0:00,1840.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Peterhead,Peterhead,999.0,***,EICStation,ESO W Type Codes - Stations,BLLA,1.0,48WSTN00000BLLA,15,48WSTN00000BLLAV,Production Unit,Blacklaw,****,EICUnit,ESO W Type Codes - BMUs,ANSUW-1,ANSUW,48W00000ANSUW-1,48W00000ANSUW-1E,Generation Unit,An Suidhe Wind Farm ANSUW-1,*****,DUKES,Venitent Energy Services,A'Chruach,Wind (onshore),Wind (onshore),42.6,2016,Scotland,******,48WSTN0000ACHRWV,ACHRW,AChruach,******,1,-4,1,-5,-7,1,2022,02,08,48,0
BMRS,Production unit,48WSTN00000PEHEU,,PEHE,PEHE,Fossil Gas,9/02/2016 0:00,1840.0,*,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**,Peterhead,Peterhead,-10.0,***,EICStation,ESO W Type Codes - Stations,BNAKW,1.0,48WSTN0000BNAKW,15,48WSTN0000BNAKWJ,Production Unit,Ben Aketil,****,EICUnit,ESO W Type Codes - BMUs,ARCHW-1,ARCHW,48W00000ARCHW-1,48W10000ARCHW-1N,Generation Unit,Arecleoch Wind Farm ARCHW-1,*****,DUKES,Lightsource BP,Acrefair,Solar,Solar,4.99698,2015,Wales,******,None,None,Acrefair,******,999,999,999,999,3996,0,2022,02,08,48,0
