Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoPlot,TBox,https://www.theworldavatar.com/kg/ontoplot/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoPlot,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoPlot,TBox,OntoPlot is an ontology developed to describe the attributes of land plots and their buildable spaces.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoPlot,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
AverageDepth,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Depth,IS-A,,,,Average depth represent average plot depth resulting from averaging sample depths along the plot&apos;s front edges,https://www.theworldavatar.com/kg/ontoplot/,Average Depth
AverageWidth ,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Width,IS-A,,,,Average width represent average plot width resulting from averaging sample widths along the plot&apos;s side edges.,https://www.theworldavatar.com/kg/ontoplot/,Average Width 
BuildableSpace,Class,,,,,,"Buildable Space is the maximum allowable space on a plot that can built up according to relevant planning regulations. Buildable spaces may be linked to a Zone, LandUse or a particular Programme if there exist specific regulations. For instance, a plot on which flat and condominium developments are allowed, will have two buildable spaces - one for condominium and one for flat as a product of unique planning regulation combinations.",https://www.theworldavatar.com/kg/ontoplot/,Buildable Space
Footprint,Class,,,,,,Footprint defines a boundary within which a specific storey exist.,https://www.theworldavatar.com/kg/ontoplot/,Footprint
FootprintArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,IS-A,,,,Allowed Footprint Area linked to a specific storey.,https://www.theworldavatar.com/kg/ontoplot/,Footprint Area
Plot,Class,http://www.opengis.net/ont/geosparql#Feature,IS-A,,,,A plot is an area of land that is often delineated with a physical boundary to denote land ownership rights. It is frequently adopted as a basic spatial unit for a cadastre or land registration system. ,https://www.theworldavatar.com/kg/ontoplot/,Plot
SiteArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Area,IS-A,,,,Site area or plot area.,https://www.theworldavatar.com/kg/ontoplot/,Site Area
