Source,Type,Target,Relation,Value,Data Type
ABoxOntoCompChem-CO2,Ontology,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoCompChem-CO2,Ontology,http://www.theworldavatar.com/kb/ontocompchem,base,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/1608b34f-9f9a-37d0-b542-ba9e3152125c,Instance,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#G09,,,
http://www.theworldavatar.com/kb/ontospecies/00b7e248-ae24-35bf-b7a0-b470b923ddf6-1-co2-1.owl/00b7e248-ae24-35bf-b7a0-b470b923ddf6-1-co2-1,Instance,http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/1608b34f-9f9a-37d0-b542-ba9e3152125c,Instance,http://www.theworldavatar.com/kb/ontospecies/00b7e248-ae24-35bf-b7a0-b470b923ddf6-1-co2-1.owl/00b7e248-ae24-35bf-b7a0-b470b923ddf6-1-co2-1,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#hasUniqueSpecies,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/job_module_has_initialization_module_42459.45395382999,Instance,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#InitializationModule,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/1608b34f-9f9a-37d0-b542-ba9e3152125c,Instance,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/job_module_has_initialization_module_42459.45395382999,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#hasInitialization,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/job_module_has_environment_module_42459.45395382999,Instance,http://purl.org/gc/SourcePackage,,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/1608b34f-9f9a-37d0-b542-ba9e3152125c,Instance,http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/job_module_has_environment_module_42459.45395382999,http://www.theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#hasEnvironment,,
http://www.theworldavatar.com/kb/ontocompchem/1608b34f-9f9a-37d0-b542-ba9e3152125c/1608b34f-9f9a-37d0-b542-ba9e3152125c.owl/initialization_module_has_molecule_property_42459.45395382999,Instance,http://purl.org/gc/MoleculeProperty,,,
