Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#Pipe,Class,,,,,,A Pipe can be used to connect two geographically distinct nodes within a Gas Transmission Network ,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PipingNetwork,Class,,,,,,"A PipingNetwork is an agglomeration of Pipes, PipeFittings, and Transmission components that interact over a directed graph",http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl
Gas Transmission Network ,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PipingNetwork,IS-A,,,,A GasTransmissionNetwork is a sub-class of PipingNetwork and specifically specifies a PipingNetwork for the purposes of transporting large volumes of gas over long distances.,http://www.theworldavatar.com/kb/ontogasnetwork/ontogasnetwork.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#PipeSegment,Class,,,,,,A PipeSegment is the elementary part of Piping. A Pipe is assembled of a number of PipeSegments.,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant_equipment/machine.owl#Compressor,Class,,,,,,A Compressor is used to induce an increase in pressure along a pipeline,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant_equipment/machine.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,Class,,,,,,A DirectedConnection is derived from the meta-class DirectedArc and represents the connecting element between Devices,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_function/process.owl#Storage,Class,,,,,,A Storage device can hold material ,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_function/process.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_function/process.owl#OutputProduct,Class,,,,,,An OutputProduct is Material that is output by a ProcessStep,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_function/process.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,Class,,,,,,A Device is the physical realisation of a node within a directed graph ,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#EnvironmentConnection,Class,,,,,,An EnvironmentConnection specifies a connection on the edge of a direct graph to or from a single device,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
Compression Station,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,A CompressionStation is the agglomeration of multiple compressors in a single geographical location ,http://www.theworldavatar.com/kb/ontogasnetwork/ontogasnetwork.owl
Intake,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,An Intake is a Device through which material enters a network,http://www.theworldavatar.com/kb/ontogasnetwork/ontogasnetwork.owl
Offtake,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#Device,IS-A,,,,An Offtake is a Device through which material leaves a network,http://www.theworldavatar.com/kb/ontogasnetwork/ontogasnetwork.owl
http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl#Pipe,Class ,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#DirectedConnection,IS-A ,,,,A Pipe is a directed connection within a pipe network,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_realization/plant.owl
,,,,,,,,
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#enters,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#hasOutput,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#hasInput,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl#leaves,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/network_system.owl
