Source,Type,Target,Relation,Value,Data Type
ABoxOntoCropEnergy,Ontology,http://www.theworldavatar.com/ontology/ontocropenergy/OntoCropEnergy.owl,http://www.w3.org/2002/07/owl#imports,,
ABoxOntoCropEnergy,Ontology,http://www.theworldavatar.com/kb/ontocropenergy,base,,
Spring Barley,Instance,Barley,,,
Spring Barley,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC01,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Beet,Instance,Beet,,,
Beet,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC03,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Carrot,Instance,Carrot,,,
Carrot,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC07,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Chicory,Instance,Chicory,,,
Chicory,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC09,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Lettuce,Instance,Lettuce,,,
Lettuce,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC15,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Linseed,Instance,Linseed,,,
Spring Linseed,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC16,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Maize,Instance,Maize,,,
Maize,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC17,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Oats,Instance,Oats,,,
Spring Oats,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC19,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Onions,Instance,Onions,,,
Onions,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC20,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Rye,Instance,Rye,,,
Spring Rye,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC24,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Strawberry,Instance,Strawberry,,,
Strawberry,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC27,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Triticale,Instance,Triticale,,,
Spring Triticale,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC30,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Wheat,Instance,Wheat,,,
Spring Wheat,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC32,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Cabbage,Instance,Cabbage,,,
Spring Cabbage,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC34,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Turnip,Instance,Turnip,,,
Turnip,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC35,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
Spring Oilseed,Instance,Oilseed,,,
Spring Oilseed,Instance,http://www.theworldavatar.com/kb/ontolanduse/AC36,http://www.theworldavatar.com/ontology/ontocropmapgml/OntoCropMapGML.owl#hasLucode,,
