Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
PotentialEnergySurfaceScan,Class,,,,,,A scan of potential energy surface on a molecular system along defined scan coordinates.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,PESScan
ScanPoint,Class,,,,,,A single point on potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
ScanCoordinate,Class,,,,, ,The atoms defining a path along the potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
DistanceCoordinate,Class,ScanCoordinate,IS-A,,,,Two atoms defining a distance coordinate along the potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
AngleCoordinate,Class,ScanCoordinate,IS-A,,,,Three atoms defining an angle coordinate along the potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
DihedralAngleCoordinate,Class,ScanCoordinate,IS-A,,,,Four atoms defining a dihedral angle coordinate along the potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
ScanCoordinateValue,Class,,,,,,Value of an actual scan coordinate at a given point on a potential energy surface.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,Class,,,,,,,http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
http://theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#GaussianCalculation,Class,,,,,,,http://theworldavatar.com/ontology/ontocompchem/ontocompchem.owl,
http://purl.org/gc/Atom,Class,,,,,,,http://purl.org/gc/,
onSpecies,Object Property,,,PotentialEnergySurfaceScan,http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,only,Defines the relationship between the PESScan and species in OntoSpecies.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasFragment,Object Property,,,PotentialEnergySurfaceScan,http://theworldavatar.com/ontology/ontospecies/OntoSpecies.owl#Species,only,Defines the relationship between the PESScan and a fragment that is a species in OntoSpecies.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasScanCoordinate,Object Property,,,PotentialEnergySurfaceScan,ScanCoordinate,only,Defines the relationship between the PESScan and ScanCoordinate.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasScanPoint,Object Property,,,ScanCoordinate,ScanPoint,only,Defines the relationship between the ScanCoordinate and ScanPoint .,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasScanCoordinateValue,Object Property,,,ScanPoint,ScanCoordinateValue,only,Defines the relationship between the ScanPoint and ScanCoordinateValue.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasScanAtom,Object Property,,,ScanCoordinate,http://purl.org/gc/Atom,only,Defines the relationship between the ScanCoordinate and an atom.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
hasCalculation,Object Property,,,ScanPoint,http://theworldavatar.com/ontology/ontocompchem/ontocompchem.owl#GaussianCalculation,only,Defines a relationship between a given ScanPoint and associated calculation results.,http://theworldavatar.com/ontology/ontopesscan/OntoPESScan.owl,
http://purl.org/gc/hasValue,Data Property,,,ScanCoordinateValue,String,,,http://purl.org/gc/,
http://purl.org/gc/hasUnit,Data Property,,,ScanCoordinateValue,String,,,http://purl.org/gc/,
