Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoDataDoc,TBox,http://www.theworldavatar.com/kg/ontodatadoc/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoDataDoc,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoDataDoc,TBox,OntoDataDoc is an ontology developed for representing data documentation.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoDataDoc,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Dataset,Class,,,,,,"The fundamental unit of data, encapsulating a collection of related information for organizing and referencing specific sets of data.",http://www.theworldavatar.com/kg/ontodatadoc/,Dataset
http://www.w3.org/ns/prov#Agent,Class,,,,,,"Agent can be a person, an organisation, and/or a software",http://www.w3.org/ns/prov#,Agent
http://www.w3.org/ns/dcat#Distribution,Class,,,,,,,http://www.w3.org/ns/dcat#,Distribution
DataCategory,Class,,,,,,A data category categorizes the dataset into broader thematic groups or domains,http://www.theworldavatar.com/kg/ontodatadoc/,Data Category
http://purl.org/dc/terms/Location,Class,,,,,,,http://purl.org/dc/terms/,Location
http://purl.org/dc/terms/LinguisticSystem,Class,,,,,,A linguistic system indicates the linguistic context in which the dataset is presented,http://purl.org/dc/terms/,Linguistic System
Subject,Class,,,,,,A subject captures the main topic or theme or concise description of the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Subject
DataSource,Class,,,,,,A data source identifies the origin of the data,http://www.theworldavatar.com/kg/ontodatadoc/,Data Source
Publication,Class,,,,,,The publication documents the details related to the release or dissemination of the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Publication
Publisher,Class,,,,,,The publisher specifies the entity or organisation responsible for making the dataset publicly available,http://www.theworldavatar.com/kg/ontodatadoc/,Publisher
DataContent,Class,,,,,,"A data content describes the content and relations, characteristics, and fundamental elements within the dataset",http://www.theworldavatar.com/kg/ontodatadoc/,Data Content
Characteristics,Class,,,,,,The characteristics outlines the distinctive features such as quantitative or qualitative nature of a data content,http://www.theworldavatar.com/kg/ontodatadoc/,Characteristics
Qualitative,Class,Characteristics,IS-A,,,,"The qualitative concept denotes data that is descriptive, non-numeric attributed, or categorical in nature",http://www.theworldavatar.com/kg/ontodatadoc/,Qualitative
Quantitative,Class,Characteristics,IS-A,,,,The quantitative concept signifies data content that is numerical or measurable,http://www.theworldavatar.com/kg/ontodatadoc/,Quantitative
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,Class,,,,,,"A unit specifies a measurement unit associated with quantitative data, ensuring proper interpretation and analysis",http://www.ontology-of-units-of-measure.org/resource/om-2/,Unit
DataRange,Class,,,,,,"A data range defines the allowable values or scope for data points, that is, an acceptable range of variations",http://www.theworldavatar.com/kg/ontodatadoc/,Data Range
ContentRelation,Class,,,,,,A content relation establishes connections or relationships between different components within the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Content Relation
IndependentContent,Class,ContentRelation,IS-A,,,,An independent content represents data points that stand alone and are not influenced by others,http://www.theworldavatar.com/kg/ontodatadoc/,Independent Content
DependentContent,Class,ContentRelation,IS-A,,,,A dependent content signifies data points that rely on or are influenced by others,http://www.theworldavatar.com/kg/ontodatadoc/,Dependent Content
ControlledContent,Class,ContentRelation,IS-A,,,,A controlled content indicates data that is subject to specific constraints or regulations,http://www.theworldavatar.com/kg/ontodatadoc/,Controlled Content
DataValidation,Class,,,,,,The data validation encompasses processes or mechanisms used to ensure the accuracy and integrity of the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Data Validation
MissingData,Class,,,,,,The missing data identifies instances where data points are absent or incomplete,http://www.theworldavatar.com/kg/ontodatadoc/,Missing Data
Versioning,Class,,,,,,A versioning instance tracks different versions or iterations of the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Versioning
ConsistencyCheck,Class,,,,,,The consistency check refers to a process or procedure implemented to ensure uniformity and coherence within the dataset,http://www.theworldavatar.com/kg/ontodatadoc/,Consistency Check
UsabilityTesting,Class,,,,,,The usability testing assesses the dataset's user-friendliness and ease of use,http://www.theworldavatar.com/kg/ontodatadoc/,Usability Testing
UserReview,Class,,,,,,The user review captures feedback and reviews from users to increase the trust nd reliability,http://www.theworldavatar.com/kg/ontodatadoc/,User Review
UsageGuideline,Class,,,,,,"The usage guideline instance outlines recommendations, terms and conditions, rights permission, etc. for effectively utilizing the dataset",http://www.theworldavatar.com/kg/ontodatadoc/,Usage Guideline
http://purl.org/dc/terms/RightsStatement,Class,,,,,,The access rights specify the permissions and restrictions based on user roles and requirements associated with accessing the dataset,http://purl.org/dc/terms/,Access Rights
http://purl.org/dc/terms/LicenseDocument,Class,,,,,,,http://purl.org/dc/terms/,License Document
http://www.w3.org/ns/odrl/2/Policy,Class,,,,,,,http://www.w3.org/ns/odrl/2/,Policy
TermsAndConditions,Class,,,,,,"The terms and conditions outline the legal and contractual terms such as  licensing, usage restrictions, and obligations associated with the dataset's usage",http://www.theworldavatar.com/kg/ontodatadoc/,Terms and Conditions
hasPublication,Object Property,,,Dataset,Publication,,"A relation between a dataset and its publication, indicating when and where the dataset was officially released or made public",http://www.theworldavatar.com/kg/ontodatadoc/,has Publication
http://purl.org/dc/terms/creator,Object Property,,,Dataset,Creator,,"A relation between a dataset and its creator, identifying the individual or entity responsible for the initial development or generation of the data",http://purl.org/dc/terms/,has Creator
http://purl.org/dc/terms/contributor,Object Property,,,Dataset,Contributor,,"A relation that establishes a link between a dataset and its contributors, recognizing individuals or entities who have contributed to the dataset beyond its creation",http://purl.org/dc/terms/,has Contributor
http://purl.org/dc/terms/distribution,Object Property,,,Dataset,DataFormat,,A relation that indicates a format or data structure in which the dataset is presented or stored,http://purl.org/dc/terms/,has Data Format
hasDataCategory,Object Property,,,Dataset,DataCategory,,Specifies the category or classification to which the dataset belongs,http://www.theworldavatar.com/kg/ontodatadoc/,has Data Category
http://purl.org/dc/terms/spatial,Object Property,,,Dataset,http://purl.org/dc/terms/Location,,,http://purl.org/dc/terms/,has Coverage
