year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2015,2041.0,2041.000001,0.0,10.77231438,10.77231438,0.0,204.3919581,204.3919581,0.0,1615.1,1615.100001,0.0,3.910218705,3.910218705,0.0,66.15519901,66.15519901,0.0,388.4,388.40000019999997,0.0,0.93957721,0.93957721,0.0,11.89706139,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2101.2,2028.8856420000002,72.31,11.086736635884058,10.708339599999999,0.3783970358840592,197.4855850794203,195.59359990000002,1.8919851794202962,1682.1,1598.42009,83.68,4.06678348599905,3.870376494,0.19640699199904968,64.35228422999525,63.37024927,0.9820349599952483,390.1,378.2812586,11.82,0.9433870835656943,0.9157759329999999,0.02761115056569441,11.554951322828472,11.41689557,0.13805575282847204,0.0,0.0,0.0,72.31,0.3783970358840592,0.3783970358840592,0.0,0.0,0.0,83.68,0.19640699199904968,0.19640699199904968,0.0,0.0,0.0,11.82,0.02761115056569441,0.02761115056569441
2017,2149.3,1993.971395,83.01,11.323104605070005,10.51031761,0.43438995918594603,191.31024190505047,186.8592166,2.606339755115676,1743.3,1567.818652,91.8,4.2082582984664585,3.796385701,0.21546560546740864,62.860061438799825,60.60978372,1.2927936328044518,384.1,372.4131021,0.0,0.9292059465656943,0.9015947959999999,0.0,11.09513538900776,10.96053103,0.0,0.0,0.0,0.0,83.01,0.43438995918594603,0.43438995918594603,0.0,0.0,0.0,91.8,0.21546560546740864,0.21546560546740864,0.0,0.0,0.0,0.0,0.0,0.0
2018,2167.0,1984.443413,27.23,11.415204425398079,10.45992329,0.14249414032807262,183.65888136398357,178.3228552,0.9974589822965084,1768.8,1554.2028289999998,39.12,4.26746277937806,3.763770852,0.0918193299116016,60.75945128336104,57.92330897,0.6427353093812113,380.7,366.7679564,2.25,0.9208462872419053,0.887979207,0.005255929676210865,10.686292102920524,10.51834763,0.03679150773347605,0.0,0.0,0.0,27.229999999999997,0.14249414032807262,0.14249414032807262,0.0,0.0,0.0,39.12,0.0918193299116016,0.0918193299116016,0.0,0.0,0.0,2.25,0.005255929676210865,0.005255929676210865
2019,2171.5,1961.051862,27.89,11.434023164827016,10.33279412,0.14594790942893668,176.20310304149427,169.8368882,1.1675832754314934,1772.6,1533.713587,24.29,4.276293826391168,3.715590357,0.05701154201310846,58.48874461191138,55.26944906,0.45609233610486766,380.4,362.2334043,4.23,0.9200249060331817,0.877276678,0.009881147791276428,10.332402283736688,10.08977981,0.07904918233021142,0.0,0.0,0.0,27.89,0.14594790942893668,0.14594790942893668,0.0,0.0,0.0,24.29,0.05701154201310846,0.05701154201310846,0.0,0.0,0.0,4.23,0.009881147791276428,0.009881147791276428
2020,2173.7,1918.659585,44.59,11.401802048474785,10.06723427,0.23333873364776936,169.53191096451755,161.23223169999997,2.1000486028299243,1763.4,1521.865779,2.65,4.252149655087123,3.6852263180000002,0.006219867695954608,55.71816932521783,52.52723637,0.05597880926359146,376.5,359.4814515,0.0,0.9127582450331817,0.870010017,0.0,9.895996111664383,9.659721049,0.0,0.0,0.0,0.0,44.59,0.23333873364776936,0.23333873364776936,0.0,0.0,0.0,2.65,0.006219867695954608,0.006219867695954608,0.0,0.0,0.0,0.0,0.0,0.0
2021,2171.2,1889.382093,26.78,11.386958410234087,9.912251334,0.14013929775930167,162.24158864723327,152.7596018,1.401392977593017,1757.8,1491.647528,24.62,4.236882449662369,3.6121730210000003,0.05778609157524621,53.51152710478156,49.82847411,0.577860915752462,370.9,356.4856736,0.0,0.9053002410331816,0.862552013,0.0,9.58678495859208,9.356857307,0.0,0.0,0.0,0.0,26.78,0.14013929775930167,0.14013929775930167,0.0,0.0,0.0,24.62,0.05778609157524621,0.05778609157524621,0.0,0.0,0.0,0.0,0.0,0.0
2022,2182.4,1846.1477399999999,54.43,11.410376110385647,9.650837743,0.28483129115156053,156.77547723058325,144.4144664,3.133144202667166,1755.7,1475.074684,14.47,4.228873311402166,3.5702010580000003,0.03396282473979743,51.17932861783678,47.22287195,0.37359107213777165,361.2,349.737368,0.0,0.8891806100331817,0.846432382,0.0,9.137224019519774,8.913643779,0.0,0.0,0.0,0.0,54.43,0.28483129115156053,0.28483129115156053,0.0,0.0,0.0,14.47,0.03396282473979743,0.03396282473979743,0.0,0.0,0.0,0.0,0.0,0.0
2023,2189.7,1772.277035,81.17,11.406521509957061,9.222221872999999,0.4247612695714159,153.43580204105638,136.3101048,5.0971352348569905,1758.5,1423.5289699999998,54.35,4.231243250166368,3.4450050310000004,0.12756596576420112,50.02075554112121,44.64303446,1.5307915891704131,355.2,343.5317219,0.21,0.8735747944696279,0.8303360129999999,0.0004905534364463474,8.721197613684826,8.498078142999999,0.005886641237356168,0.0,0.0,0.0,81.17,0.4247612695714159,0.4247612695714159,0.0,0.0,0.0,54.35,0.12756596576420112,0.12756596576420112,0.0,0.0,0.0,0.20999999999999996,0.0004905534364463474,0.0004905534364463474
2024,2184.7,1753.580734,13.7,11.366750389717422,9.110758879,0.07169187376035971,146.22951019468576,128.6316958,0.9319943588846763,1761.2,1390.815776,35.41,4.229068403303632,3.359718669,0.08311151513726515,48.4408108122904,42.130437,1.0804496967844468,349.1,330.24920110000005,7.18,0.8588874850586032,0.798876448,0.01677225558897512,8.496639644238266,8.061975428,0.21803932265667653,0.0,0.0,0.0,13.7,0.07169187376035971,0.07169187376035971,0.0,0.0,0.0,35.41,0.08311151513726515,0.08311151513726515,0.0,0.0,0.0,7.18,0.01677225558897512,0.01677225558897512
