Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoWasteManagement,TBox,https://www.theworldavatar.com/kg/ontowastemanagement/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoWasteManagement,TBox,1.1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoWasteManagement,TBox,"OntoWasteManagement is designed to represent and support the day-to-day waste management operations, ranging from handling collection requests and billing reports, meeting reporting requirements, to fleet and bin management.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoWasteManagement,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
BinDeliveryService,Class,https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/ProductsAndServices/Service,IS-A,,,,A service that delivers an empty bin to the specified site.,https://www.theworldavatar.com/kg/ontowastemanagement/,Bin delivery service
WasteCollectionService,Class,https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/ProductsAndServices/Service,IS-A,,,,"A service provided by an entity (such as a municipality or private company) that involves the collection, transportation, and disposal or recycling of waste materials from residential, commercial, or industrial sources.",https://www.theworldavatar.com/kg/ontowastemanagement/,Waste collection service
BinExchangeService,Class,WasteCollectionService,IS-A,,,,A service that delivers an empty bin to the specified site and tows away the full bin to a disposal site.,https://www.theworldavatar.com/kg/ontowastemanagement/,Bin exchange service
TowAwayService,Class,WasteCollectionService,IS-A,,,,A service that collects and disposes a filled garbage bin from the service site to the disposal site. The bin will not be returned to the service site afterwards.,https://www.theworldavatar.com/kg/ontowastemanagement/,Tow away service
TouchAndGoService,Class,WasteCollectionService,IS-A,,,,A service that brings an empty bin to collect and dispose of the waste on the service site.  The bin will not be returned to the service site afterwards.,https://www.theworldavatar.com/kg/ontowastemanagement/,Touch and go service
DumpAndReturnService,Class,WasteCollectionService,IS-A,,,,"A service that delivers an empty bin for the collection and disposal of waste on the service site, before returning the newly emptied bin to the service site .",https://www.theworldavatar.com/kg/ontowastemanagement/,Dump and return service
WasteDisposalService,Class,https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/ProductsAndServices/Service,IS-A,,,,"A service for the management, treatment, and disposal of waste that adheres to environmental regulations and promoting sustainability.",https://www.theworldavatar.com/kg/ontowastemanagement/,Waste disposal service
WasteDisposalFacility,Class,https://www.theworldavatar.com/kg/ontobim/Facility,IS-A,,,,A facility with waste disposal services.,https://www.theworldavatar.com/kg/ontowastemanagement/,Waste disposal facility
Bin,Class,,,,,,A container used to carry and store waste.,https://www.theworldavatar.com/kg/ontowastemanagement/,Bin
OTCBin,Class,Bin,IS-A,,,,A bin capable of attaching to an OTC truck.,https://www.theworldavatar.com/kg/ontowastemanagement/,Open Top Container Bin
3ftBin,Class,OTCBin,IS-A,,,,An open top container bin with a length of 3 feet.,https://www.theworldavatar.com/kg/ontowastemanagement/,3-feet bin
5ftBin,Class,OTCBin,IS-A,,,,An open top container bin with a length of 5 feet.,https://www.theworldavatar.com/kg/ontowastemanagement/,5-feet bin
7ftBin,Class,OTCBin,IS-A,,,,An open top container bin with a length of 7 feet.,https://www.theworldavatar.com/kg/ontowastemanagement/,7-feet bin
CompactorBin,Class,OTCBin,IS-A,,,,An open top container bin with the ability to compact waste.,https://www.theworldavatar.com/kg/ontowastemanagement/,Compactor bin
RearEndLoaderTruck,Class,https://spec.edmcouncil.org/auto/ontology/VC/VehicleCore/Truck,IS-A,,,,"A truck designed for municipal waste collection, featuring a rear-loading mechanism with a hydraulic lift to compact waste into the truck body.",https://www.theworldavatar.com/kg/ontowastemanagement/,Rear end loader truck
HookliftTruck,Class,https://spec.edmcouncil.org/auto/ontology/VC/VehicleCore/Truck,IS-A,,,,"A versatile truck equipped with a hydraulic hooklift system, used for transporting various container types, including heavy industrial and commercial waste containers.",https://www.theworldavatar.com/kg/ontowastemanagement/,Hooklift truck
Waste,Class,,,,,,"Any material, substance, or by-product that is no longer useful or required after the completion of a process. It is typically discarded because it is considered worthless, defective, or surplus to requirements.",https://www.theworldavatar.com/kg/ontowastemanagement/,Waste
IndustrialWaste,Class,Waste,IS-A,,,,Waste produced through industrial and construction process.,https://www.theworldavatar.com/kg/ontowastemanagement/,Industrial waste
HardcoreWaste,Class,IndustrialWaste,IS-A,,,,"Construction and rubble waste. For example: concrete, brick, steel rebars.",https://www.theworldavatar.com/kg/ontowastemanagement/,Hardcore waste
SludgeWaste,Class,IndustrialWaste,IS-A,,,,Waste composed of colloids and liquids from industrial processes.,https://www.theworldavatar.com/kg/ontowastemanagement/,Sludge waste
BiologicalWaste,Class,Waste,IS-A,,,,Waste produced by or from plants and animals.,https://www.theworldavatar.com/kg/ontowastemanagement/,Biological waste
HortiWaste,Class,BiologicalWaste,IS-A,,,,"Waste produced from plants, usually from farming.",https://www.theworldavatar.com/kg/ontowastemanagement/,Horticultural waste
TreeWaste,Class,BiologicalWaste,IS-A,,,,"Waste produced from tree parts, usually from tree trimming and logging activity.",https://www.theworldavatar.com/kg/ontowastemanagement/,Tree waste
MixedWaste,Class,Waste,IS-A,,,,Waste composed of several waste categories.,https://www.theworldavatar.com/kg/ontowastemanagement/,Mixed waste
GeneralWaste,Class,Waste,IS-A,,,,Waste created from everyday activity.,https://www.theworldavatar.com/kg/ontowastemanagement/,General waste
RecyclableWaste,Class,Waste,IS-A,,,,Waste that can be recycled.,https://www.theworldavatar.com/kg/ontowastemanagement/,Recycled waste
PaperWaste,Class,RecyclableWaste,IS-A,,,,Waste composed of paper-based material.,https://www.theworldavatar.com/kg/ontowastemanagement/,Paper waste
MetalWaste,Class,RecyclableWaste,IS-A,,,,Waste composed of metal-based material.,https://www.theworldavatar.com/kg/ontowastemanagement/,Metal waste
PlasticWaste,Class,RecyclableWaste,IS-A,,,,Waste composed of plastic-based material.,https://www.theworldavatar.com/kg/ontowastemanagement/,Plastic waste
GlassWaste,Class,RecyclableWaste,IS-A,,,,Waste composed of glass-based material.,https://www.theworldavatar.com/kg/ontowastemanagement/,Glass waste
