Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoHPLC,TBox,https://www.theworldavatar.com/kg/ontohplc/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoHPLC,TBox,1.6,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoHPLC,TBox,OntoHPLC is an ontology developed for expressing a high performance liquid chromatography.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoHPLC,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
HighPerformanceLiquidChromatography,Class,https://www.theworldavatar.com/kg/ontolab/LabEquipment,IS-A,,,,"A separation technique in which the mobile phase is a liquid. Liquid chromatography can be carried out either in a column or on a plane. Present-day liquid chromatography generally utilizing very small particles and a relatively high inlet pressure is often characterized by the term high-performance (or high-pressure) liquid chromatography, and the acronym HPLC. [https://doi.org/10.1351/goldbook.L03578]",https://www.theworldavatar.com/kg/ontohplc/,
LiquidChromatography,Class,https://saref.etsi.org/core/Task,IS-A,,,,A separation technique in which the mobile phase is a liquid. Here the liquid chromatography is modelled as a saref:Task that can be accomplished by HPLC.,https://www.theworldavatar.com/kg/ontohplc/,
ChromatogramMeasurement,Class,https://saref.etsi.org/core/Function,IS-A,,,,The function to measure the chromatogram of a given chemical amount.,https://www.theworldavatar.com/kg/ontohplc/,
ChromatogramMeasurementCommand,Class,https://saref.etsi.org/core/Command,IS-A,,,,"The command to realise ""ChromatogramMeasurement"" function.",https://www.theworldavatar.com/kg/ontohplc/,
HPLCJob,Class,,,,,,An appearance of one HPLC job.,https://www.theworldavatar.com/kg/ontohplc/,
HPLCReport,Class,,,,,,The report generated during one HPLC job.,https://www.theworldavatar.com/kg/ontohplc/,
HPLCMethod,Class,,,,,,The method used by HPLC during HPLC job.,https://www.theworldavatar.com/kg/ontohplc/,
ChromatogramPoint,Class,,,,,,"One data point that indicates a peak appears in the chromatogram, normally it refers to a phase component.",https://www.theworldavatar.com/kg/ontohplc/,
InternalStandard,Class,http://www.theworldavatar.com/ontology/ontocape/material/phase_system/phase_system.owl#PhaseComponent,IS-A,,,,A compound added to a sample in known concentration to facilitate the qualitative indentification and/or quantitative determination of the sample components. [https://doi.org/10.1351/goldbook.I03108],https://www.theworldavatar.com/kg/ontohplc/,
PeakArea,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Quantity,IS-A,,,,The area enclosed between the peak and the baseline. [https://doi.org/10.1351/goldbook.P04453],https://www.theworldavatar.com/kg/ontohplc/,
RetentionTime,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/Duration,IS-A,,,,The time between injection of sample into HPLC column and emergence of a solute of the sample.,https://www.theworldavatar.com/kg/ontohplc/,
ResponseFactor,Class,http://www.ontology-of-units-of-measure.org/resource/om-2/QuantityOfDimensionOne,IS-A,,,,The response factor is defined as the ratio between a signal produced by a solute of the sample and the signal produced by the internal standard of the sample. This ratio is concentration-based in this specific application.,https://www.theworldavatar.com/kg/ontohplc/,
http://dbpedia.org/resource/Microsoft_Excel,Class,http://dbpedia.org/class/yago/WikicatFilenameExtensions,IS-A,,,,,http://dbpedia.org,
http://dbpedia.org/resource/Comma-separated_values,Class,http://dbpedia.org/class/yago/WikicatFilenameExtensions,IS-A,,,,,http://dbpedia.org,
http://dbpedia.org/resource/Text_file,Class,http://dbpedia.org/class/yago/WikicatFilenameExtensions,IS-A,,,,,http://dbpedia.org,
https://saref.etsi.org/core/accomplishes,Object Property,,,HighPerformanceLiquidChromatography,LiquidChromatography,some,The relation between HighPerformanceLiquidChromatography and the liquid chromatography task it can conduct.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isAccomplishedBy,Object Property,https://saref.etsi.org/core/accomplishes,INVERSE-OF,LiquidChromatography,HighPerformanceLiquidChromatography,some,The relation identifies that the HighPerformanceLiquidChromatography that can accomplish the liquid chromatography task.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasFunction,Object Property,,,HighPerformanceLiquidChromatography,ChromatogramMeasurement,some,The relation identifies the chromatogram measurement function of HighPerformanceLiquidChromatography.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/hasCommand,Object Property,,,ChromatogramMeasurement,ChromatogramMeasurementCommand,only,The relation between ChromatogramMeasurement function and ChromatogramMeasurementCommander command.,https://saref.etsi.org/core/v3.1.1/,
https://saref.etsi.org/core/isCommandOf,Object Property,https://saref.etsi.org/core/hasCommand,INVERSE-OF,ChromatogramMeasurementCommand,ChromatogramMeasurement,only,The relation between ChromatogramMeasurementCommander command and ChromatogramMeasurement function it can achieve.,https://saref.etsi.org/core/v3.1.1/,
hasJob,Object Property,,,HighPerformanceLiquidChromatography,HPLCJob,only,The relation between a HPLC and the HPLC job it conducts.,https://www.theworldavatar.com/kg/ontohplc/,
hasPastReport,Object Property,,,HighPerformanceLiquidChromatography,HPLCReport,only,The relation between a HPLC and the HPLC reports it generated in the past.,https://www.theworldavatar.com/kg/ontohplc/,
reportExtension,Object Property,,,HighPerformanceLiquidChromatography,http://dbpedia.org/class/yago/WikicatFilenameExtensions,only,The relation between a HPLC and the filename extension of the HPLC report it generates.,https://www.theworldavatar.com/kg/ontohplc/,
hasReport,Object Property,,,HPLCJob,HPLCReport,only,The relation between a HPLC job and the report it generates.,https://www.theworldavatar.com/kg/ontohplc/,
characterises,Object Property,,,HPLCJob,https://www.theworldavatar.com/kg/ontoreaction/ReactionExperiment,,The relation between a HPLC job and the reaction experiment it characterises.,https://www.theworldavatar.com/kg/ontohplc/,
usesMethod,Object Property,,,HPLCJob,HPLCMethod,only,The relation between a HPLC job and the method it uses.,https://www.theworldavatar.com/kg/ontohplc/,
records,Object Property,,,HPLCReport,ChromatogramPoint,only,The relation between a HPLC report and the chromatogram data it records.,https://www.theworldavatar.com/kg/ontohplc/,
generatedFor,Object Property,,,HPLCReport,https://www.theworldavatar.com/kg/ontolab/ChemicalAmount,only,The relation between a HPLC report and the chemical amount it is generated for.,https://www.theworldavatar.com/kg/ontohplc/,
usesInternalStandard,Object Property,,,HPLCMethod,InternalStandard,only,The relation between a HPLC report and the internal standard that was used during generating the report.,https://www.theworldavatar.com/kg/ontohplc/,
hasResponseFactor,Object Property,,,HPLCMethod,ResponseFactor,only,The relation between a HPLC method and the response factor of each species under this method.,https://www.theworldavatar.com/kg/ontohplc/,
hasRetentionTime,Object Property,,,HPLCMethod,RetentionTime,only,The relation between a HPLC method and the ideal retention time of each species under this method.,https://www.theworldavatar.com/kg/ontohplc/,
indicatesComponent,Object Property,,,ChromatogramPoint,http://www.theworldavatar.com/ontology/ontocape/material/phase_system/phase_system.owl#PhaseComponent,only,The relation between the chromatogram point and the phase component it refers to.,https://www.theworldavatar.com/kg/ontohplc/,
hasPeakArea,Object Property,,,ChromatogramPoint,PeakArea,exactly 1,The relation between the chromatogram point and the peak area it calculated.,https://www.theworldavatar.com/kg/ontohplc/,
atRetentionTime,Object Property,,,ChromatogramPoint,RetentionTime,exactly 1,The relation between chromatogram point and the retention time at which the point was referring to.,https://www.theworldavatar.com/kg/ontohplc/,
