Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoLab,TBox,https://www.theworldavatar.com/kg/ontolab/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoLab,TBox,1.2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoLab,TBox,OntoLab is an ontology developed for expressing facilities in a research lab.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoLab,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Laboratory,Class,https://www.theworldavatar.com/kg/ontobim/Facility,IS-A,,,,"Facility that provides controlled conditions in which scientific or technological research, experiments, and measurement may be performed. [https://www.wikidata.org/wiki/Q483242]",https://www.theworldavatar.com/kg/ontolab/,
LabEquipment,Class,https://saref.etsi.org/core/Device,IS-A,,,,Equipment used for laboratory experiments. [https://www.wikidata.org/wiki/Q834028],https://www.theworldavatar.com/kg/ontolab/,
SafetyEquipment,Class,https://saref.etsi.org/core/Device,IS-A,,,,Equipment used for laboratory safety.,https://www.theworldavatar.com/kg/ontolab/,
LabEquipmentSystem,Class,http://www.w3.org/ns/ssn/System,IS-A,,,,A system of equipments for experimentations.,https://www.theworldavatar.com/kg/ontolab/,
EquipmentSettings,Class,,,,,,Specifications that are used to set the operating conditions of laboratory equipment.,https://www.theworldavatar.com/kg/ontolab/,
ParameterSetting,Class,,,,,,Each parameter setting refers to one specific setting of the laboratory equipment.,https://www.theworldavatar.com/kg/ontolab/,
TemperatureSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the temperature.,https://www.theworldavatar.com/kg/ontolab/,
DurationSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the duration.,https://www.theworldavatar.com/kg/ontolab/,
FlowRateSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the flow rate.,https://www.theworldavatar.com/kg/ontolab/,
VolumeSetting,Class,ParameterSetting,IS-A,,,,Setting that specifies the volume.,https://www.theworldavatar.com/kg/ontolab/,
PowerSupply,Class,,,,,,Power supply of lab equipment.,https://www.theworldavatar.com/kg/ontolab/,
ExternalDC,Class,PowerSupply,IS-A,,,,External power supply through DC.,https://www.theworldavatar.com/kg/ontolab/,
LithiumBattery,Class,PowerSupply,IS-A,,,,Power supply through a lithium battery.,https://www.theworldavatar.com/kg/ontolab/,
External Battery,Class,PowerSupply,IS-A,,,,Power supply through an external battery.,https://www.theworldavatar.com/kg/ontolab/,
NiMHRechargeableBattery,Class,PowerSupply,IS-A,,,,Power supply through a NiMH rechargeable battery.,https://www.theworldavatar.com/kg/ontolab/,
SolarPowerPack,Class,PowerSupply,IS-A,,,,Power supply through a solar power pack.,https://www.theworldavatar.com/kg/ontolab/,
PowerSupplyUnit,Class,PowerSupply,IS-A,,,,A device that provides controlled current and voltages for powering other devices,https://www.theworldavatar.com/kg/ontolab/,
ChemicalAmount,Class,http://www.theworldavatar.com/ontology/ontocape/chemical_process_system/CPS_behavior/behavior.owl#MaterialAmount,IS-A,,,,"The concrete realisation of chemical amount in the physical world, e.g., a liquid holdup in a vessel.",https://www.theworldavatar.com/kg/ontolab/,
PreparationMethod,Class,,,,,,Preparation method of a chemical amount.,https://www.theworldavatar.com/kg/ontolab/,
Repurified,Class,PreparationMethod,IS-A,,,,The chemical amount is repurified from received.,https://www.theworldavatar.com/kg/ontolab/,
Dried,Class,PreparationMethod,IS-A,,,,The chemical amount is dried from received.,https://www.theworldavatar.com/kg/ontolab/,
Sparged,Class,PreparationMethod,IS-A,,,,The chemical amount is sparged from received.,https://www.theworldavatar.com/kg/ontolab/,
UsedAsReceived,Class,PreparationMethod,IS-A,,,,The chemical amount is used as received.,https://www.theworldavatar.com/kg/ontolab/,
